address,city,country,name,postalCode,province
4601 Broadway St,Mount Vernon,US,Burger King,62864,IL
1700 S 10th St,Mount Vernon,US,Burger King,62864,IL
3120 James Sanders Blvd,Paducah,US,Taco Bell,42001,KY
1440 Columbus St,Ottawa,US,Wendy's,61350,IL
5139 Hinkleville Rd,Paducah,US,Wendy's,42001,KY
885 E Il Route 38,Rochelle,US,Wendy's,61068-9699,IL
328 E Morton Ave,Jacksonville,US,Jimmy John's,62650,IL
905 W Morton Ave,Jacksonville,US,Burger King,62650,IL
1690 E Jackson St Ste F,Macomb,US,Arby's,61455,IL
109 S Gilbert St,Danville,US,McDonald's,61832,IL
15 W Fairchild St,Danville,US,Hardee's,61832,IL
306 S Gilbert St,Danville,US,Long John Silver's,61832,IL
2565 Hart St,Vincennes,US,Arby's,47591,IN
639 N 13th St,Decatur,US,Taco Bell,46733,IN
1312 S 13th St,Decatur,US,Arby's,46733,IN
946 W Washington St,Pittsfield,US,Hardee's,62363,IL
705 W 7th St,Auburn,US,Penguin Point,46706,IN
450 W North St,Kendallville,US,Arby's,46755,IN
120 W North St,Kendallville,US,Wendy's,46755,IN
618 Fairview Blvd,Kendallville,US,Burger King,46755,IN
211 W North St,Kendallville,US,McDonald's,46755,IN
241 W US Highway 6,Ligonier,US,KFC,46767,IN
337 W Plaza Dr,Columbia City,US,Taco Bell,46725,IN
9 Corvette Dr,Litchfield,US,KFC,62056,IL
1502 W McClain Ave,Scottsburg,US,Wendy's,47170,IN
1205 W Weir St,Litchfield,US,Wendy's,62056,IL
2 Ohren Dr,Litchfield,US,McDonald's,62056,IL
1201 W Weir St,Litchfield,US,Taco Bell,62056,IL
1 Corvette Dr,Litchfield,US,Jack In The Box,62056,IL
2 Corvette Dr,Litchfield,US,Burger King,62056,IL
105 E Trefz Dr,Marshall,US,Burger King,62441,IL
1069 Sagamore Pkwy W,West Lafayette,US,Burger King,47906,IN
3416 16th St,Bedford,US,Wendy's,47421,IN
3216 29th St,Bedford,US,Arby's,47421,IN
1804 N Wayne St,Angola,US,Burger King,46703,IN
2601 16th St 270,Bedford,US,Burger King,47421,IN
